regime_axis,regime,model,samples,accuracy,macro_f1,balanced_accuracy,short_precision,short_recall,hold_precision,hold_recall,long_precision,long_recall,short_support,hold_support,long_support
combined,DOWN_LOW,TimesFM 2.5 LoRA,1159,0.49525452976704054,0.29056799803666084,0.34547908421364437,0.36065573770491804,0.07028753993610223,0.5153550863723608,0.9070945945945946,0.26785714285714285,0.05905511811023622,313,592,254
combined,SIDEWAYS_HIGH,TimesFM 2.5 LoRA,577,0.4558058925476603,0.2663067954925131,0.32196140176094834,0.21875,0.04827586206896552,0.4862204724409449,0.8546712802768166,0.24324324324324326,0.06293706293706294,145,289,143
combined,SIDEWAYS_LOW,TimesFM 2.5 LoRA,1688,0.6036729857819905,0.28074616962925625,0.3404530485506156,0.34615384615384615,0.025936599423631124,0.6134556574923548,0.9728419010669254,0.25925925925925924,0.02258064516129032,347,1031,310
trend,UP,Cryptova-Raw,1482,0.4008097165991903,0.32245928336259905,0.34125671300147403,0.34934497816593885,0.15444015444015444,0.49194414607948445,0.6686131386861314,0.17391304347826086,0.2007168458781362,518,685,279
trend,DOWN,Cryptova-Raw,2544,0.4488993710691824,0.40978773584473577,0.41965280310856873,0.3447488584474886,0.2111888111888112,0.5443833464257659,0.5843170320404721,0.3577430972388956,0.463452566096423,715,1186,643
trend,SIDEWAYS,Cryptova-Raw,2265,0.5134657836644592,0.3596811275235166,0.37399972916044627,0.24096385542168675,0.08130081300813008,0.6052471018913972,0.7515151515151515,0.2847826086956522,0.2891832229580574,492,1320,453
volatility,HIGH,Cryptova-Raw,2653,0.4172634753109687,0.400552776408871,0.41733991898736233,0.3777372262773723,0.24760765550239233,0.5334590009425071,0.4792548687552921,0.31992337164750956,0.5251572327044025,836,1181,636
volatility,LOW,Cryptova-Raw,3638,0.4925783397471138,0.33258120415453,0.35363276382203884,0.22456140350877193,0.0719910011248594,0.5668583752695903,0.7845771144278607,0.26444833625218916,0.20433017591339647,889,2010,739
combined,UP_HIGH,Cryptova-Raw,691,0.3661360347322721,0.33703283661526434,0.3664288257742892,0.38311688311688313,0.2041522491349481,0.48742138364779874,0.5201342281879194,0.1780821917808219,0.375,289,298,104
combined,UP_LOW,Cryptova-Raw,791,0.4310998735777497,0.28882001767007454,0.32393055011517485,0.28,0.09170305676855896,0.49429037520391517,0.7829457364341085,0.1650485436893204,0.09714285714285714,229,387,175
combined,DOWN_HIGH,Cryptova-Raw,1385,0.4433212996389892,0.43126882300469793,0.4433139496703425,0.3782051282051282,0.2935323383084577,0.556935817805383,0.45286195286195285,0.3847457627118644,0.583547557840617,402,594,389
combined,DOWN_LOW,Cryptova-Raw,1159,0.455565142364107,0.34988648153023183,0.3670583617251626,0.2619047619047619,0.10543130990415335,0.5367088607594936,0.7162162162162162,0.29218106995884774,0.2795275590551181,313,592,254
combined,SIDEWAYS_HIGH,Cryptova-Raw,577,0.41594454072790293,0.3804699099468123,0.39125683607249045,0.36585365853658536,0.20689655172413793,0.5461538461538461,0.4913494809688581,0.28936170212765955,0.4755244755244755,145,289,143
combined,SIDEWAYS_LOW,Cryptova-Raw,1688,0.5468009478672986,0.3291039739533139,0.3521621797651382,0.11904761904761904,0.02881844380403458,0.6163886874546773,0.8244422890397672,0.28,0.2032258064516129,347,1031,310
trend,UP,Cryptova-Base,1482,0.42375168690958165,0.32555110512954794,0.3511954283322308,0.3894736842105263,0.14285714285714285,0.49317738791423,0.7386861313868613,0.18045112781954886,0.17204301075268819,518,685,279
trend,DOWN,Cryptova-Base,2544,0.44693396226415094,0.3997032368853542,0.40958890309400015,0.3375,0.1888111888111888,0.5271542360608255,0.6138279932546374,0.35910878112712974,0.4261275272161742,715,1186,643
trend,SIDEWAYS,Cryptova-Base,2265,0.5298013245033113,0.35040099073413095,0.3666023014835808,0.27007299270072993,0.07520325203252033,0.5980888139404159,0.806060606060606,0.2836676217765043,0.2185430463576159,492,1320,453
volatility,HIGH,Cryptova-Base,2653,0.4342254052016585,0.4088163930579836,0.42344770460555226,0.4092827004219409,0.23205741626794257,0.5205811138014528,0.54614733276884,0.33297872340425533,0.4921383647798742,836,1181,636
volatility,LOW,Cryptova-Base,3638,0.49835074216602526,0.313840454982872,0.3423413950641907,0.20553359683794467,0.05849268841394826,0.5609093993892094,0.8223880597014925,0.2465753424657534,0.14614343707713126,889,2010,739
combined,UP_HIGH,Cryptova-Base,691,0.4081041968162084,0.3629857780552308,0.3987279673021992,0.4435483870967742,0.1903114186851211,0.49473684210526314,0.6308724832214765,0.20855614973262032,0.375,289,298,104
combined,UP_LOW,Cryptova-Base,791,0.43742098609355246,0.27178739309103256,0.31870114336652366,0.2878787878787879,0.08296943231441048,0.49226006191950467,0.8217054263565892,0.11392405063291139,0.05142857142857143,229,387,175
combined,DOWN_HIGH,Cryptova-Base,1385,0.4404332129963899,0.4253784794671025,0.434461446758573,0.3894736842105263,0.27611940298507465,0.5217391304347826,0.48484848484848486,0.38503649635036497,0.5424164524421594,402,594,389
combined,DOWN_LOW,Cryptova-Base,1159,0.454702329594478,0.3333628149216888,0.3559840185333883,0.20869565217391303,0.07667731629392971,0.5307599517490953,0.7432432432432432,0.2930232558139535,0.24803149606299213,313,592,254
combined,SIDEWAYS_HIGH,Cryptova-Base,577,0.4506065857885615,0.3986165753812132,0.40614599178016436,0.4307692307692308,0.19310344827586207,0.5504885993485342,0.5847750865051903,0.3073170731707317,0.4405594405594406,145,289,143
combined,SIDEWAYS_LOW,Cryptova-Base,1688,0.556872037914692,0.3055638551273054,0.3367182884784443,0.125,0.025936599423631124,0.608016304347826,0.8680892337536372,0.25,0.11612903225806452,347,1031,310
trend,UP,Cryptova-Full,1482,0.4392712550607287,0.30478297085703127,0.34326826405941074,0.3894736842105263,0.14285714285714285,0.48138528138528136,0.8116788321167884,0.15328467153284672,0.07526881720430108,518,685,279
trend,DOWN,Cryptova-Full,2544,0.4382861635220126,0.3675413930574685,0.3765854945703306,0.3375,0.1888111888111888,0.4984783931832015,0.6905564924114671,0.3213572854291417,0.25038880248833595,715,1186,643
trend,SIDEWAYS,Cryptova-Full,2265,0.5479028697571744,0.33142227183780215,0.35569020033969156,0.27007299270072993,0.07520325203252033,0.5916580844490217,0.8704545454545455,0.2956989247311828,0.12141280353200883,492,1320,453
volatility,HIGH,Cryptova-Full,2653,0.4334715416509612,0.38296830065109355,0.3902317965434154,0.4092827004219409,0.23205741626794257,0.48473520249221186,0.6587637595258256,0.31010452961672474,0.279874213836478,836,1181,636
volatility,LOW,Cryptova-Full,3638,0.5104452996151732,0.2963659797323179,0.3356623410783688,0.20553359683794467,0.05849268841394826,0.5569377990430622,0.8686567164179104,0.236,0.07983761840324763,889,2010,739
combined,UP_HIGH,Cryptova-Full,691,0.41678726483357453,0.33249315904553217,0.35953505730392005,0.4435483870967742,0.1903114186851211,0.46652267818574517,0.7248322147651006,0.16346153846153846,0.16346153846153846,289,298,104
combined,UP_LOW,Cryptova-Full,791,0.4589127686472819,0.26582941937240484,0.3281265155825936,0.2878787878787879,0.08296943231441048,0.4913294797687861,0.8785529715762274,0.12121212121212122,0.022857142857142857,229,387,175
combined,DOWN_HIGH,Cryptova-Full,1385,0.4252707581227437,0.3957762782894559,0.39753981686350687,0.3894736842105263,0.27611940298507465,0.4756756756756757,0.5925925925925926,0.35,0.32390745501285345,402,594,389
combined,DOWN_LOW,Cryptova-Full,1159,0.453839516824849,0.3047046288210989,0.3344413144119441,0.20869565217391303,0.07667731629392971,0.5171650055370985,0.7888513513513513,0.24822695035460993,0.1377952755905512,313,592,254
combined,SIDEWAYS_HIGH,Cryptova-Full,577,0.4731369150779896,0.3837204232598432,0.38816743054900793,0.4307692307692308,0.19310344827586207,0.5223880597014925,0.726643598615917,0.3181818181818182,0.24475524475524477,145,289,143
combined,SIDEWAYS_LOW,Cryptova-Full,1688,0.5734597156398105,0.2923471486862643,0.33373965827288127,0.125,0.025936599423631124,0.6097402597402597,0.9107662463627546,0.2631578947368421,0.06451612903225806,347,1031,310
